id,duration_s,dc_offset,peak_amplitude,rms,clipping_frac,reasons
00006fe3-5331-4db2-b30e-65affe00cfbe,6.16,-0.0002,0.9315,0.11292,0.0,
000081dd-b6dc-420c-be34-57bd8224c18f,12.97,-0.0,0.8418,0.13033,0.0,
0000abee-a101-4a2f-bdb5-aecae1187830,5.04,-0.0005,0.9742,0.13764,0.0,
0001e47c-ff52-46ca-8368-380f2a052bed,6.0,-0.0004,0.7965,0.11097,0.0,
00021667-9e19-4e6b-8f5c-af600d298b73,5.51,0.0,0.6813,0.11999,0.0,
00027097-da25-4c47-a43a-5c5d2ffe17d3,12.08,-0.0002,1.0,0.12395,1e-05,
0002ae75-9228-4230-a2df-2040db3507f6,4.48,-0.0008,0.8494,0.09583,0.0,
0002e1f1-d00e-4063-816a-c42932faccb2,7.28,-0.0003,0.7224,0.1118,0.0,
0002ee44-0df6-4260-afde-5782d3d2b13c,10.16,-0.0,0.8455,0.13899,0.0,
000309d6-6d8c-442e-962a-168c4354ee17,7.6,0.0001,0.7981,0.12983,0.0,
00031c38-c73a-45c0-af61-b99fd7230fb4,2.68,-0.0004,0.8336,0.14772,0.0,
000370e9-9e71-4079-8030-079044dd5c01,5.84,-0.0002,0.63,0.10273,0.0,
000395cd-4871-4827-ba7c-0bf3ab6ef0ac,11.52,-0.0004,1.0,0.14101,1e-05,
00041845-3075-4939-b22a-e158d6e286d4,7.84,-0.0003,0.9589,0.10055,0.0,
00042d88-194b-4dd9-b57b-ff58195704c3,12.52,-0.0003,0.8327,0.10779,0.0,
00042d89-9bd0-4c19-afb8-7373ec57f30e,7.48,-0.0001,1.0,0.12927,3e-05,
00043f22-043b-4c18-a5b0-40b85d771df1,10.12,-0.0,0.8476,0.12538,0.0,
00054cf4-e4a9-498a-8816-41dd0c69ca3b,4.91,0.0,0.2166,0.02426,0.0,
00058036-56ee-411f-9c3b-cfb6c3de6215,11.0,-0.0003,1.0,0.18711,1e-05,
0005bf20-0d33-428e-bae0-f45b758ceefd,11.51,-0.0002,0.8429,0.09047,0.0,
0005c7c1-415f-4a12-a226-ad49724f4582,2.24,-0.0002,0.9329,0.10506,0.0,
0005f00b-437a-42f6-b057-603f4bfad2c4,9.4,-0.0002,0.6999,0.09336,0.0,
0005f388-7ed9-4700-ae5f-0a15059a02dc,4.96,-0.0001,0.6525,0.10604,0.0,
0006b31b-e955-4346-bc62-1966fec6f549,3.41,-0.0,0.1956,0.03605,0.0,
0006c6b0-9b19-461f-8517-ff8b494d558a,7.92,0.0,0.9997,0.10194,1e-05,
0006e83b-da40-4c89-9684-2608baaeb7fb,9.08,-0.0001,0.9585,0.11544,0.0,
0006f11b-252e-44ed-857f-470e29cc475d,5.43,0.0011,0.9912,0.12076,0.0,
00075fff-65af-40d7-a609-080d7b773e36,4.12,-0.0001,0.789,0.14963,0.0,
00079349-93fc-49fa-9cfa-07b578b6e6e8,6.72,-0.0001,0.5041,0.06765,0.0,
0007a870-7ff3-4b5c-b7ab-78ac6f06aa7c,8.08,-0.0002,0.7631,0.09045,0.0,
0007cbe7-13a3-4db8-a402-83c177c774a0,5.88,-0.0005,0.5916,0.08091,0.0,
0007fc28-e75c-4203-bba3-fca70ed4bc7c,14.7,0.0,0.8507,0.13489,0.0,
00084e3c-d246-4afb-8571-775197821c2d,5.04,0.0,0.8345,0.12195,0.0,
0008b352-b34d-493c-ba3f-8cf615a6fbdb,6.16,-0.0003,0.6441,0.10358,0.0,
000a547c-8179-45bb-9227-9e6dc9ba09db,6.82,0.0001,1.0,0.14941,1e-05,
000a6785-f42c-4e5f-9d9d-d0c389cb658d,7.16,0.0,0.7577,0.11319,0.0,
000ab56f-81e3-4b9c-8de8-af596ef9fe56,14.96,-0.0002,0.978,0.13558,0.0,
000b04dc-a6e9-4775-b2b8-47befe2a2b74,7.64,-0.0002,0.8917,0.0976,0.0,
000b4815-4305-4bd8-a589-48d19e4eea24,7.16,-0.0003,1.0,0.12353,1e-05,
000bd4ec-b5f9-4507-b16e-856d432ed464,7.36,0.0008,0.9817,0.13783,0.0,
000be3a6-6ab4-488d-b1a5-7d580cc1fa94,3.12,-0.0,0.71,0.08045,0.0,
000c4022-e00f-4f52-869b-059df1de458a,11.72,-0.0004,1.0,0.14373,1e-05,
000c460d-d307-422c-b3a0-39ca7d71c649,6.44,-0.0003,0.6628,0.10448,0.0,
000c4ea0-95c1-4587-8313-a8b51050fb1e,6.0,-0.0001,0.5597,0.07817,0.0,
000c603d-df2b-42ec-8b63-11ffd5dd9309,4.76,-0.0,1.0,0.13517,1e-05,
000c8197-2d2d-4c62-a75e-816960e38c94,4.12,-0.0008,0.802,0.10468,0.0,
000c9790-2221-4b1a-aec4-114a494a0c30,2.68,-0.0006,0.8488,0.12246,0.0,
000cbed0-28da-40ff-a51c-e234d4dee703,6.6,-0.0002,0.9298,0.13807,0.0,
000cefad-30e3-4590-a7b1-a83c0d8eba28,13.0,0.0001,0.994,0.14784,0.0,
000d52b8-16df-4742-9b2b-a9a58645a9d9,6.04,-0.0002,0.7737,0.11939,0.0,
000d5bdf-6d25-45a4-ad7a-42acea9f6816,5.22,-0.0001,0.2677,0.02469,0.0,
000dae34-596a-4958-9eda-c69f90369ca1,12.24,-0.0006,0.9712,0.13729,0.0,
000dae9f-157b-47af-a27d-012c99cc71cb,3.92,-0.0001,0.8757,0.13564,0.0,
000dbf35-30cd-4737-b5c1-8efe885576c3,3.04,-0.0,0.7096,0.08258,0.0,
000e3c4d-515c-4ddc-8bd1-f07d50fce3c4,8.88,-0.0005,0.8564,0.1561,0.0,
000e4dcd-1033-47ed-b199-4db780d698d4,7.64,-0.0003,0.7231,0.08052,0.0,
